km/pallet;1;2;3;4;5;6;7;8;9;10;11;12
30;58.65;87;114.5;137.1;160.8;181.65;201.45;220.3;238.35;255.35;271.45;286.55
60;67;99.4;130.85;156.75;183.8;207.55;230.25;251.85;272.4;291.9;310.25;327.5
90;75.4;111.9;147.15;176.35;206.65;233.5;259;283.35;306.45;328.4;348.95;368.4
120;83.75;124.3;163.5;195.9;229.7;259.45;287.7;314.85;340.5;364.75;387.8;409.4
150;92.15;136.7;179.8;215.5;252.6;285.3;316.5;346.3;374.5;401.25;426.5;450.35
180;100.55;149.2;196.15;235.15;275.6;311.25;345.35;377.75;408.6;437.75;465.35;491.25
210;108.95;161.55;212.5;253.9;298.6;337.15;374.15;409.3;442.6;474.25;504.05;532.15
240;117.3;174.05;228.9;274.25;321.55;363.15;402.9;440.75;476.7;510.75;542.9;573.15
270;125.65;186.45;245.3;293.9;344.55;389.1;431.7;472.2;510.75;547.2;581.6;614.05
300;134.05;198.85;261.6;313.45;367.5;415;460.45;503.7;544.7;583.65;620.35;655.05
330;142.4;211.3;277.95;332.95;390.45;441.05;489.2;535.2;578.85;620.15;659.2;695.95
360;150.75;223.8;294.3;352.65;413.45;466.9;518;566.7;612.85;656.65;697.95;736.9
